1,K66E-RE,RBE4001 69,Đồ án tốt nghiệp,ONL,Khoa ĐTVT,10,300,CL,6,3,,
2,K66E-RE,RBE3051 69,Thực tập ngành Kỹ thuật Robot,ONL,Khoa ĐTVT,3,300,CL,6,1,,
3,K66G-AT,AGT4000 23,Đồ án tốt nghiệp,ONL,Khoa CNNN,10,300,CL,CN,1,,
4,K66S-AE,AER4002 21,Thực tập tốt nghiệp,ONL,Nguyễn Văn Thương,3,300,CL,CN,3,,
5,K66S-AE,AER4050 21,Đồ án tốt nghiệp,ONL,Nguyễn Văn Thương,10,300,CL,CN,2,,
6,K67A-AI,AIT3017 1,Thiết kế phần cứng cho học sâu,LT,Nguyễn Kiêm Hùng,3,85,CL,2,2,105-GĐ3,Học 1-15
7,K67A-AI,AIT3018 2,"Nhận thức, ngôn ngữ và tư duy",LT,Nguyễn Thị Thùy Linh,3,90,CL,2,3,105-GĐ3,Học 1-15
9,K67C-CE1,CTE3028 32,Kiến trúc trong xây dựng,LT,Trần Tuấn Linh,2,50,CL,3,1,405-GĐ4-A,Học tuần 1-10
10,K67C-CE1,CTE3056 32,BIM trong Xây dựng – Giao thông,LT,Ngô Đình Đạt,2,50,CL,3,2,405-GĐ4-A,Học tuần 1-15
11,K67C-CE1,CTE3058 32,Tin học ứng dụng trong Xây dựng,LT,Ngô Đình Đạt,2,50,CL,2,1,405-GĐ4-A,Học tuần 1-15
12,K67C-CE1,CTE3059 32,Đồ án 2A: Nền và móng,LT,Nguyễn Văn Bắc+Nguyễn Hữu Hùng,2,50,CL,3,4,405-GĐ4-A,Học tuần 1-10
13,K67C-CE1,CTE3060 32,Đồ án 3A: Kết cấu bê tông cốt thép,LT,Nguyễn Ngọc Vinh+Phạm Hồng Ngọc,2,50,CL,2,2,405-GĐ4-A,Học tuần 1-10
14,K67C-CE1,CTE3061 32,Đồ án 4A: Kết cấu thép,LT,Nguyễn Văn Hùng+Bùi Văn Trường,2,50,CL,6,1,405-GĐ4-A,Học tuần 1-10
15,K67C-CE1,CTE3062 32,Thiết kế nhà bê tông cốt thép,LT,Nguyễn Thị Thanh Thúy+Phạm Hồng Ngọc,3,50,CL,5,1,405-GĐ4-A,Học tuần 1-10
16,K67C-CE1,CTE3062 32,Thiết kế nhà bê tông cốt thép,TH,Nguyễn Thị Thanh Thúy+Phạm Hồng Ngọc,3,50,CL,3,3,405-GĐ4-A,Học tuần 2-11
17,K67C-CE1,CTE3064 32,Kỹ thuật thi công,LT,Nguyễn Ngọc Thắng,2,50,CL,2,3,405-GĐ4-A,Học tuần 1-10
18,K67C-CE1+K67C-CE2,PEC1008 32,Kinh tế chính trị Mác – Lênin,LT,ĐHKT,2,50,CL,5,2,205-GĐ4-A,Học tuần 1-10
19,K67C-CE2,CTE3028 32,Kiến trúc trong xây dựng,LT,Trần Tuấn Linh,2,50,CL,4,2,205-GĐ4-A,Học tuần 1-10
20,K67C-CE2,CTE3056 32,BIM trong Xây dựng – Giao thông,LT,Ngô Đình Đạt,2,50,CL,2,3,406-GĐ4-A,Học tuần 1-15
21,K67C-CE2,CTE3075 32,Thiết kế đường ô tô,LT,Vũ Văn Huy,3,50,CL,4,1,406-GĐ4-A,Học tuần 1-10
22,K67C-CE2,CTE3075 32,Thiết kế đường ô tô,TH,Vũ Văn Huy,3,50,CL,2,1,406-GĐ4-A,Học tuần 2-11
23,K67C-CE2,CTE3069 32,Đồ án 2B: Nền và móng,LT,Nguyễn Văn Hùng+Trần Đức Tâm,2,50,CL,2,2,406-GĐ4-A,Học tuần 1-10
24,K67C-CE2,CTE3070 32,Đồ án 3B: Kết cấu bê tông cốt thép,LT,Nguyễn Ngọc Vinh+Phạm Hồng Ngọc,2,50,CL,5,1,406-GĐ4-A,Học tuần 1-10
25,K67C-CE2,CTE3071 32,Đồ án 4B: Kết cấu thép,LT,Nguyễn Văn Hùng+Bùi Văn Trường,2,50,CL,6,1,307-GĐ4-A,Học tuần 1-10
26,K67C-CE2,CTE3073 32,Cơ sở công trình cầu,LT,Phạm Văn Phê,2,50,CL,5,3,406-GĐ4-A,Học tuần 1-10
27,K67C-CE2,CTE3074 32,Thiết kế cầu,LT,Nguyễn Đắc Đức,3,50,CL,6,2,406-GĐ4-A,Học tuần 1-10
28,K67C-CE2,CTE3074 32,Thiết kế cầu,TH,Nguyễn Đắc Đức,3,50,CL,6,3,406-GĐ4-A,Học tuần 2-11
29,K67E-CE1,ELT3203 65,Thiết kế mạch tích hợp tương tự,LT,Chử Đức Trình+Đỗ Quang Lộc,3,40,CL,3,2,104-GĐ3,Học tuần 1-10
30,K67E-CE1,ELT3203 65,Thiết kế mạch tích hợp tương tự,TH,Đỗ Quang Lộc,3,40,CL,4,3,104-GĐ3,Học tuần 2-11
31,K67E-CE1,ELT3293 65,Công nghệ vi cơ điện tử,LT,Nguyễn Xuân Dương,3,40,CL,3,3,213-GĐ3,Học tuần 1-15
32,K67E-CE1,ELT3246 65,Lập trình DSP,LT,Nguyễn Hồng Thịnh,3,40,CL,6,4,104-GĐ3,Học tuần 1-5
33,K67E-CE1,ELT3246 65,Lập trình DSP,TH,Lê Quốc Anh,3,40,CL,2,3,104-GĐ3,Học tuần 2-11
34,K67E-CE1,ELT3246 65,Lập trình DSP,TH,Lê Quốc Anh,3,40,CL,6,3,203-GĐ3,Học tuần 2-11
35,K67E-CE1,ELT3299 65,Công nghệ máy tính quang học,LT,Phạm Đức Quang,3,40,CL,3,4,104-GĐ3,Học tuần 1-10
36,K67E-CE1,ELT3299 65,Công nghệ máy tính quang học,LT,Phạm Đức Quang,3,40,CL,6,2,104-GĐ3,Học tuần 2-11
37,"K67E-CE1+K67E-CE2+K67E-CE3",ELT3297 65,Lập trình điều khiển thiết bị,LT,Hoàng Gia Hưng,3,60,CL,2,2,509-GĐ4-B,,Học tuần 1-10
38,"K67E-CE1+K67E-CE2+K67E-CE3",ELT3297 65,Lập trình điều khiển thiết bị,TH,Dương Minh Ngọc,3,60,CL,2,1,503-GĐ4-A,,Học tuần 2-10
39,"K67E-CE1+K67E-CE2+K67E-CE3",INE1051 65,Kinh tế vĩ mô,LT,Trần Thị Lan Hương,3,80,CL,5,3,102-GĐ3,,Học tuần 1-15
40,"K67E-CE1+K67E-CE2+K67E-CE3",ELT3297 66,Lập trình điều khiển thiết bị,LT,Hoàng Gia Hưng,3,60,CL,2,1,509-GĐ4-B,,Học tuần 1-10
41,"K67E-CE1+K67E-CE2+K67E-CE3",ELT3297 66,Lập trình điều khiển thiết bị,TH,Đỗ Đình Minh,3,60,CL,2,2,509-GĐ4-B,,Học tuần 2-11
42,"K67E-CE1+K67E-CE2+K67E-CE3",INE1051 66,Kinh tế vĩ mô,LT,Trần Thị Lan Hương,3,60,CL,4,1,509-GĐ4-B,,Học tuần 1-15
43,"K67E-CE1+K67E-CE2+K67E-CE3",ELT3298 65,Đồ án ngành Kỹ thuật máy tính,ONL,Khoa ĐTVT,3,300,CL,7,2,,,
44,"K67E-CE1+K67E-CE2+K67E-CE3",ELT4068 65,Đồ án tốt nghiệp,ONL,Khoa ĐTVT,10,300,CL,7,1,,,
45,"K67E-CE1+K67E-CE2+K67E-CE3",ELT4001 65,Thực tập ngành Kỹ thuật máy tính,ONL,Khoa ĐTVT,3,300,CL,7,3,,,
46,K67E-CE2,ELT3244 65,IoT và ứng dụng,LT,Đinh Thị Thái Mai,3,60,CL,3,3,510-GĐ4-B,,Học tuần 1-12
47,K67E-CE2,ELT3244 65,IoT và ứng dụng,TH,Lưu Bách Hưng,3,20,CL,6,1,202-G2,,Học tuần 2-8
48,K67E-CE2,ELT3244 65,IoT và ứng dụng,TH,Lưu Bách Hưng,3,20,CL,6,2,202-G2,,Học tuần 2-8
49,K67E-CE2,ELT3244 65,IoT và ứng dụng,TH,Lưu Bách Hưng,3,20,CL,6,3,202-G2,,Học tuần 2-8
50,K67E-CE2,INT3405 65,Học máy,LT,Mẫn Đức Chức,3,40,CL,3,2,215-GĐ3,,Học tuần 1-15
51,K67E-CE2,ELT3231 65,"Kỹ thuật xử lý và truyền thông đa phương tiện",LT,Đinh Triều Dương,3,40,CL,2,3,215-GĐ3,,Học tuần 1-15
52,K67E-CE3,ELT3300 65,Nguyên lý truyền thông và mã hóa,LT,Lê Trần Mạnh+Nguyễn Minh Trần,3,40,CL,5,2,216-GĐ3,,Học tuần 1-15
53,K67E-CE3,ELT3295 65,Mạng không dây,LT,Lâm Sinh Công,3,40,CL,4,3,216-GĐ3,,Học tuần 1-12
54,K67E-CE3,ELT3295 65,Mạng không dây,TH,Cấn Quang Trường,3,20,CL,3,1,202-G2,,Học tuần 2-8
55,K67E-CE3,ELT3295 65,Mạng không dây,TH,Cấn Quang Trường,3,20,CL,6,2,202-G2,,Học tuần 2-8
56,K67E-CE3,INT3319 65,Điện toán đám mây,LT,Phạm Mạnh Linh,3,40,CL,2,3,216-GĐ3,,Học tuần 1-10
57,K67E-CE3,INT3319 65,Điện toán đám mây,TH,Đào Minh Thư,3,40,CL,5,1,216-GĐ3,,Học tuần 3-12
58,K67E-EC1,ELT3086 1,Thực tập chuyên đề,TH,Phạm Duy Hưng+Phạm Đình Tuân,3,20,CL,7,3,705-E3,,Học tuần 1-15
59,K67E-EC1,ELT3086 1,Thực tập chuyên đề,TH,Phạm Duy Hưng+Phạm Đình Tuân,3,20,CL,7,4,705-E3,,Học tuần 1-15
60,K67E-EC1,ELT3164 56,Mạng điều khiển mềm,LT,Đinh Thị Thái Mai+Cấn Quang Trường,3,40,CL,4,4,203-GĐ3,,Học tuần 1-12
61,K67E-EC1,ELT3164 56,Mạng điều khiển mềm,TH,Đinh Thị Thái Mai+Cấn Quang Trường,3,20,1,7,2,202-G2,,Học tuần 10-15
62,K67E-EC1,ELT3164 56,Mạng điều khiển mềm,TH,Đinh Thị Thái Mai+Cấn Quang Trường,3,20,2,2,1,202-G2,,Học tuần 10-15
63,K67E-EC1,ELT3247 56,Truyền thông di động,LT,Nguyễn Minh Trần,3,40,CL,4,3,214-GĐ3,,Học tuần 1-15
64,K67E-EC1,ELT3098 56,Truyền thông vệ tinh,LT,Trần Cao Quyền,3,40,CL,4,2,203-GĐ4,,Học tuần 1-15
65,K67E-EC1,ELT3231 56,"Kỹ thuật xử lý và truyền thông đa phương tiện",LT,Đinh Triều Dương,3,40,CL,6,2,216-GĐ3,,Học tuần 1-15
66,"K67E-EC1+K67E-EC2+K67E-EC3+K67E-EC4",ELT4005 56,Thực tập ngành Điện tử Viễn thông,ONL,Khoa ĐTVT,3,300,CL,CN,1,,,
67,"K67E-EC1+K67E-EC2+K67E-EC3+K67E-EC4",ELT4005 56,Thực tập ngành Điện tử Viễn thông,ONL,Khoa ĐTVT,3,300,CL,CN,2,,,
68,K67E-EC2,ELT3086 2,Thực tập chuyên đề,TH,Phạm Duy Hưng+Chu Thị Phương Dung,3,20,CL,3,1,705-E3,,Học tuần 1-15
69,K67E-EC2,ELT3086 2,Thực tập chuyên đề,TH,Phạm Duy Hưng+Chu Thị Phương Dung,3,20,CL,3,2,705-E3,,Học tuần 1-15
70,K67E-EC2,ELT3099 56,Các phương pháp xử lý tín hiệu,LT,Nguyễn Linh Trung+Lê Vũ Hà,3,40,CL,4,3,215-GĐ3,,Học tuần 1-15
